sample_id,herb_name,timestamp,quality_level,temperature_c,humidity_percent,ph_value,tds_ppm,uv_intensity,moisture_percent,color_r,color_g,color_b,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage
RAW-00020,Mulethi Root,2025-06-06T08:04:30,medium,21.76,45.9,6.49,740.5,4.17,14.6,242,103,182,0.561,0.411,0.741,0.924,0.763
RAW-00021,Elaichi Seeds,2025-07-27T08:47:46,high,25.33,72.9,7.69,716.1,4.23,21.5,133,118,83,1.328,0.958,1.543,1.822,1.541
RAW-00022,Dhania Seeds,2025-08-05T10:46:56,high,22.87,46.3,6.69,824.9,1.84,23.4,226,127,94,1.313,0.983,1.481,1.844,1.63
RAW-00023,Hing Powder,2025-06-26T16:46:56,high,20.07,50.3,7.25,1274.4,3.77,10.5,67,87,164,2.347,2.149,2.681,2.919,2.76
RAW-00024,Tejpatta Leaves,2025-08-28T14:36:27,high,24.04,50.1,5.64,576.5,3.26,18.6,233,108,158,1.811,1.422,1.999,2.322,2.226
RAW-00025,Honey,2025-07-03T12:21:20,high,27.36,82.2,6.73,878.8,1.47,21.5,119,203,167,0.35,0.15,0.181,0.531,0.585
RAW-00026,Kalonji Seeds,2025-08-23T08:19:48,high,19.23,50.6,4.51,219.2,2.42,19.1,212,143,144,2.061,1.734,2.35,2.62,2.335
RAW-00027,Neem Leaves,2025-08-01T09:13:52,high,30.28,60.7,7.77,686.7,1.95,16.9,215,146,72,2.386,2.102,2.816,3.219,3.05
RAW-00028,Tulsi Leaves,2025-09-05T16:16:32,high,27.9,76.1,5.07,346.6,3.6,17.4,123,146,167,1.241,0.679,1.564,2.098,1.867
RAW-00029,Shankhpushpi,2025-07-01T11:44:23,high,22.03,69.6,8.15,251.7,0.59,13.8,153,109,220,1.346,1.159,1.66,1.965,1.737
RAW-00030,Kalonji Seeds,2025-09-08T11:04:55,high,21.18,69.3,6.02,1129.2,1.11,21.8,203,218,84,2.087,1.718,2.455,2.675,2.468
RAW-00031,Tulsi Leaves,2025-06-25T17:10:37,medium,20.49,83.4,5.09,651.2,0.52,25.0,98,120,50,0.976,0.611,1.276,1.806,1.624
RAW-00032,Hing Powder,2025-09-02T14:50:58,low,19.44,58.4,4.8,1142.2,1.43,23.5,211,173,136,1.737,1.577,1.851,2.102,2.046
RAW-00033,Brahmi Leaves,2025-07-02T09:06:28,high,31.22,50.6,6.13,519.8,0.53,19.5,210,200,134,1.617,1.151,1.943,2.121,2.013
RAW-00034,Ajwain Seeds,2025-06-19T11:28:59,high,28.92,49.6,6.76,1478.8,2.41,12.7,163,164,63,1.734,1.364,2.046,2.347,2.061
RAW-00035,Curry Leaves,2025-08-05T16:38:08,high,20.46,81.6,6.18,605.6,2.64,10.7,103,156,242,1.77,1.407,2.05,2.319,2.171
RAW-00036,Kalonji Seeds,2025-07-06T10:25:28,high,18.72,64.9,6.89,534.7,3.88,11.6,250,89,66,1.957,1.689,2.162,2.476,2.301
RAW-00037,Ajwain Seeds,2025-07-31T15:41:24,high,29.29,71.4,7.27,1281.3,1.32,17.3,192,108,203,1.836,1.451,2.055,2.384,2.209
RAW-00038,Triphala Powder,2025-06-26T17:15:06,high,27.02,71.0,5.96,863.0,2.46,23.3,220,217,232,1.865,1.516,2.163,2.648,2.369
RAW-00039,Shankhpushpi,2025-07-09T15:48:03,low,31.78,75.7,6.17,661.0,3.71,13.6,52,222,191,0.904,0.762,1.195,1.352,1.195
RAW-00040,Ajwain Seeds,2025-09-22T11:17:36,high,31.88,54.3,8.27,992.0,3.08,17.7,123,156,106,1.611,1.467,2.067,2.418,2.143
RAW-00041,Ajwain Seeds,2025-09-21T17:02:55,high,26.12,48.7,8.01,435.1,0.73,23.3,202,125,219,1.751,1.477,2.037,2.267,2.107
RAW-00042,Amla Fruit,2025-07-10T16:04:10,high,29.55,58.9,7.21,870.3,1.41,23.2,196,129,217,1.802,1.486,2.209,2.565,2.383
RAW-00043,Dalchini Bark,2025-07-29T16:12:42,high,25.84,49.6,6.01,63.2,4.11,11.9,207,248,123,1.375,1.058,1.636,1.988,1.695
RAW-00044,Shatavari Root,2025-09-06T12:28:21,high,19.82,75.3,4.6,82.1,1.69,17.3,228,252,107,1.083,0.785,1.37,1.689,1.52
RAW-00045,Kalonji Seeds,2025-09-06T09:28:03,high,23.57,56.0,8.44,643.5,4.48,13.4,238,212,113,1.82,1.507,2.199,2.453,2.312
RAW-00046,Methi Seeds,2025-06-24T09:14:43,high,24.74,49.7,5.0,1044.1,2.21,13.0,237,112,166,1.973,1.689,2.185,2.431,2.308
RAW-00047,Turmeric Powder,2025-08-11T08:07:20,high,18.14,58.1,6.57,177.4,1.82,10.5,165,203,199,1.607,1.273,1.917,2.223,2.147
RAW-00048,Kalonji Seeds,2025-07-08T14:25:45,high,28.97,69.5,6.44,1008.2,2.81,19.0,71,203,176,1.977,1.685,2.263,2.628,2.454
RAW-00049,Jeera Seeds,2025-07-11T17:13:10,medium,23.65,53.8,6.17,345.2,4.22,12.6,208,235,238,1.383,1.155,1.711,1.848,1.72
RAW-00050,Brahmi Leaves,2025-07-07T11:27:43,medium,23.37,63.6,7.84,391.9,3.9,16.1,136,91,221,1.301,1.154,1.814,2.028,1.772
RAW-00051,Dhania Seeds,2025-06-02T14:36:04,high,21.32,54.4,8.03,690.9,1.72,16.7,125,143,154,1.161,0.857,1.449,1.794,1.582
RAW-00052,Neem Leaves,2025-06-20T15:42:11,high,31.11,46.6,4.99,705.7,4.68,14.7,228,61,69,2.281,2.034,2.756,3.043,2.882
RAW-00053,Neem Leaves,2025-08-27T09:24:49,high,30.1,75.7,4.95,1203.5,4.6,19.0,80,191,102,2.406,2.112,2.787,3.257,3.032
RAW-00054,Brahmi Leaves,2025-09-13T17:27:01,high,29.17,62.4,7.77,224.3,2.77,10.1,192,114,125,1.535,1.237,1.854,2.119,1.997
RAW-00055,Tulsi Leaves,2025-06-15T12:18:59,medium,23.52,67.0,7.49,1087.5,2.65,22.3,156,129,96,1.181,0.751,1.37,1.83,1.599
RAW-00056,Brahmi Leaves,2025-06-15T16:35:10,high,31.67,77.9,6.59,228.7,4.31,22.0,208,120,240,1.366,1.068,1.722,2.008,1.864
RAW-00057,Hing Powder,2025-07-12T17:55:35,high,22.23,74.3,7.9,1023.6,4.07,21.5,251,232,118,2.275,2.003,2.736,2.887,2.696
RAW-00058,Shankhpushpi,2025-09-07T09:32:54,high,18.22,58.6,7.77,924.7,1.75,23.6,158,85,146,1.265,0.905,1.503,1.876,1.568
RAW-00059,Hing Powder,2025-08-12T15:32:58,medium,22.67,68.2,4.86,1444.4,3.21,21.3,104,155,239,2.197,1.788,2.341,2.698,2.434
RAW-00060,Tulsi Leaves,2025-07-25T08:15:11,medium,26.52,65.3,5.14,141.5,0.68,13.4,115,154,134,0.988,0.654,1.296,1.831,1.515
RAW-00061,Mulethi Root,2025-08-12T08:10:02,medium,20.43,72.8,5.88,1464.6,3.24,22.3,74,103,82,0.546,0.25,0.774,1.038,0.8
RAW-00062,Turmeric Powder,2025-06-14T08:45:15,medium,19.48,70.6,5.36,948.4,3.29,12.3,54,211,59,1.555,1.077,1.759,2.083,1.879
RAW-00063,Ajwain Seeds,2025-06-11T09:30:55,high,28.14,76.7,6.12,998.4,1.84,17.9,63,248,135,1.697,1.376,2.074,2.269,2.12
RAW-00064,Jeera Seeds,2025-07-25T09:26:20,high,19.37,64.5,5.1,520.8,3.71,17.1,229,206,215,1.52,1.224,1.878,2.182,2.022
RAW-00065,Giloy Stems,2025-07-12T08:40:16,high,19.48,84.5,6.27,119.4,0.29,21.2,178,158,228,1.61,1.294,1.933,2.234,2.101
RAW-00066,Methi Seeds,2025-06-24T08:04:19,medium,31.55,56.8,7.58,955.8,1.97,13.1,98,85,175,1.534,1.262,1.617,1.966,1.721
RAW-00067,Ajwain Seeds,2025-09-13T16:24:57,high,25.7,60.5,5.15,447.0,4.65,20.1,228,223,162,1.79,1.453,2.094,2.318,2.14
RAW-00068,Pudina Leaves,2025-09-07T17:31:29,low,18.6,51.6,5.03,1102.7,4.11,13.2,200,137,93,1.171,0.972,1.451,1.664,1.581
RAW-00069,Neem Leaves,2025-07-13T12:32:55,high,22.35,74.7,7.76,941.7,3.47,15.6,186,213,135,2.289,2.069,2.712,3.178,2.943
RAW-00070,Amla Fruit,2025-07-28T13:11:16,low,27.28,45.1,5.21,92.2,0.92,12.7,222,69,66,1.353,1.222,1.765,1.94,1.722
RAW-00071,Hing Powder,2025-06-04T10:23:36,high,24.16,50.9,5.81,679.3,0.53,13.3,96,252,106,2.503,2.232,2.754,2.978,2.871
RAW-00072,Dhania Seeds,2025-07-15T08:16:05,medium,21.82,65.7,5.69,1414.0,1.37,16.4,118,142,113,1.187,0.846,1.367,1.651,1.436
RAW-00073,Pudina Leaves,2025-07-19T12:09:04,low,24.0,78.8,5.57,276.8,4.28,10.7,131,156,234,1.12,0.975,1.269,1.463,1.417
RAW-00074,Kalonji Seeds,2025-07-20T08:26:06,high,20.68,58.5,5.73,1423.2,4.84,12.7,210,227,166,1.913,1.684,2.351,2.596,2.416
RAW-00075,Triphala Powder,2025-09-14T16:06:21,medium,25.64,47.5,6.55,1219.3,2.35,10.8,112,98,241,1.71,1.551,1.919,2.335,2.062
RAW-00076,Shatavari Root,2025-06-21T11:25:03,high,29.51,60.2,7.6,1448.5,1.1,17.8,201,90,213,1.194,0.826,1.354,1.718,1.459
RAW-00077,Tulsi Leaves,2025-08-11T14:08:46,high,19.65,74.6,5.78,1483.2,2.48,11.8,207,62,211,1.031,0.837,1.572,2.078,1.836
RAW-00078,Giloy Stems,2025-09-10T17:30:58,high,24.6,77.9,6.34,568.8,2.52,22.4,79,70,205,1.492,1.333,1.954,2.254,2.02
RAW-00079,Giloy Stems,2025-08-01T08:20:34,medium,20.45,79.2,5.41,1263.7,1.47,19.6,53,235,202,1.462,1.163,1.814,2.101,1.88
RAW-00080,Dalchini Bark,2025-06-15T12:34:56,high,23.33,84.1,4.94,662.7,0.31,21.1,203,151,199,1.415,1.107,1.705,1.892,1.772
RAW-00081,Shankhpushpi,2025-08-22T10:02:41,high,21.17,74.2,6.9,143.5,4.4,23.2,174,159,135,1.41,1.066,1.76,1.971,1.68
RAW-00082,Jeera Seeds,2025-07-25T08:47:29,high,18.35,72.8,4.83,1370.5,2.38,12.1,196,75,101,1.578,1.266,1.929,2.18,2.052
RAW-00083,Tulsi Leaves,2025-09-12T12:50:37,high,24.61,46.8,5.06,451.4,4.86,15.0,148,217,191,1.265,0.814,1.62,2.089,1.746
RAW-00084,Brahmi Leaves,2025-09-17T11:55:48,high,30.24,64.7,7.31,1489.6,0.74,14.1,50,217,157,1.517,1.271,1.791,2.081,1.905
RAW-00085,Neem Leaves,2025-08-11T15:52:44,high,19.69,61.8,7.5,153.0,0.49,15.3,216,51,240,2.296,2.094,2.719,3.186,2.949
RAW-00086,Dalchini Bark,2025-08-13T09:50:10,low,29.31,53.6,6.37,1234.2,0.43,15.8,156,195,213,1.005,0.817,1.262,1.499,1.444
RAW-00087,Mulethi Root,2025-09-27T16:52:37,medium,20.0,80.6,5.88,274.0,0.22,19.7,212,220,175,0.636,0.455,0.721,1.055,0.837
RAW-00088,Hing Powder,2025-09-21T13:04:07,high,20.24,45.9,7.52,714.9,1.52,23.5,174,86,219,2.486,2.119,2.73,3.042,2.806
RAW-00089,Amla Fruit,2025-07-05T14:05:03,high,25.1,72.1,5.44,1254.5,2.77,12.5,240,73,174,1.764,1.466,2.166,2.485,2.326
RAW-00090,Ashwagandha Root,2025-09-19T09:10:35,high,28.11,66.3,7.98,239.4,3.97,11.9,233,69,218,2.071,1.81,2.417,2.779,2.584
RAW-00091,Methi Seeds,2025-06-12T13:16:50,medium,29.59,75.6,6.79,1436.3,1.08,11.6,165,222,130,1.795,1.49,1.919,2.203,2.12
RAW-00092,Tejpatta Leaves,2025-09-05T15:18:37,high,29.11,84.6,5.3,1492.2,0.54,10.0,116,114,85,1.817,1.573,2.184,2.514,2.306
RAW-00093,Elaichi Seeds,2025-06-01T12:12:39,low,30.17,72.3,4.95,1271.0,1.29,17.2,115,243,62,1.017,0.783,1.265,1.421,1.376
RAW-00094,Ashwagandha Root,2025-07-01T09:38:02,high,25.04,63.0,6.84,955.9,0.45,20.2,63,227,205,2.189,1.864,2.422,2.847,2.65
RAW-00095,Kalonji Seeds,2025-07-23T15:14:21,low,24.54,58.6,8.26,169.9,4.66,22.4,156,196,186,1.341,1.162,1.516,1.822,1.697
RAW-00096,Shatavari Root,2025-07-14T11:35:17,medium,27.33,83.6,7.54,1428.6,3.54,14.5,70,133,189,1.113,0.74,1.342,1.652,1.314
RAW-00097,Honey,2025-06-17T12:53:47,medium,18.5,60.8,8.22,232.3,3.71,24.6,221,198,77,0.42,0.185,0.297,0.411,0.629
RAW-00098,Elaichi Seeds,2025-07-24T08:35:20,high,24.5,83.5,6.58,1032.4,1.63,21.6,224,153,141,1.382,0.938,1.632,1.926,1.598
RAW-00099,Brahmi Leaves,2025-06-27T13:52:41,medium,30.58,76.3,7.62,714.1,2.05,14.5,244,206,206,1.433,1.142,1.7,2.041,1.811
RAW-00100,Jeera Seeds,2025-06-28T14:43:25,high,21.87,84.3,6.61,1364.3,0.9,19.6,114,98,224,1.478,1.188,1.683,2.093,1.819
RAW-00101,Tulsi Leaves,2025-08-27T13:59:56,high,24.44,66.9,6.23,113.7,0.91,16.7,221,157,210,1.242,0.847,1.527,2.17,1.846
RAW-00102,Ajwain Seeds,2025-08-14T09:10:30,high,31.44,65.9,8.41,1148.1,0.89,17.2,145,143,114,1.745,1.437,2.036,2.314,2.147
RAW-00103,Curry Leaves,2025-08-20T11:23:49,high,27.27,49.7,5.66,626.9,4.61,24.9,209,138,142,1.663,1.475,2.008,2.245,2.064
RAW-00104,Honey,2025-08-06T11:19:52,high,29.76,75.1,5.41,1436.7,0.83,20.2,218,117,246,0.328,0.129,0.275,0.579,0.595
RAW-00105,Triphala Powder,2025-07-26T10:20:34,high,26.9,59.6,5.68,1325.3,2.35,11.4,76,89,240,2.074,1.737,2.442,2.728,2.506
RAW-00106,Tulsi Leaves,2025-09-06T15:23:41,high,20.85,45.4,6.25,1330.0,0.35,12.9,125,87,213,1.142,0.757,1.469,2.166,1.816
RAW-00107,Giloy Stems,2025-08-08T14:57:49,high,24.75,59.5,8.3,966.6,0.74,18.4,114,240,100,1.578,1.303,1.976,2.312,2.151
RAW-00108,Dhania Seeds,2025-09-13T15:01:39,medium,24.09,67.0,5.75,749.6,2.58,15.8,245,195,162,0.918,0.748,1.279,1.55,1.327
RAW-00109,Triphala Powder,2025-09-24T10:39:13,low,20.2,57.4,5.66,1313.6,3.4,22.0,56,233,168,1.246,1.105,1.52,1.725,1.519
RAW-00110,Triphala Powder,2025-06-16T14:18:50,low,24.06,72.4,5.83,132.0,1.93,24.2,190,133,231,1.51,1.242,1.657,2.035,1.803
RAW-00111,Methi Seeds,2025-08-26T14:18:53,high,25.24,74.6,7.02,846.9,3.48,12.2,232,88,206,1.972,1.636,2.175,2.398,2.241
RAW-00112,Pudina Leaves,2025-06-20T16:53:19,medium,31.25,49.2,5.12,1419.9,3.71,23.2,172,71,149,1.436,1.145,1.819,2.094,1.966
RAW-00113,Ashwagandha Root,2025-06-25T08:48:44,low,21.62,62.4,7.39,63.1,2.99,19.2,170,90,219,1.516,1.388,1.852,2.042,1.99
RAW-00114,Elaichi Seeds,2025-09-17T15:38:48,high,23.56,65.5,5.51,1482.1,1.53,21.6,122,183,156,1.311,0.962,1.54,1.972,1.715
RAW-00115,Hing Powder,2025-09-21T08:53:36,high,25.04,47.2,6.46,1394.3,0.62,21.5,215,170,178,2.465,2.134,2.644,2.899,2.764
RAW-00116,Shankhpushpi,2025-08-24T12:48:09,high,29.59,53.6,7.74,1190.2,3.2,15.6,107,88,129,1.289,1.087,1.684,2.069,1.663
RAW-00117,Jeera Seeds,2025-08-24T16:05:50,high,28.37,79.5,6.63,1194.7,1.55,18.1,207,175,209,1.539,1.309,1.726,2.123,1.931
RAW-00118,Triphala Powder,2025-08-17T17:09:46,high,27.83,51.9,6.5,647.3,4.37,19.5,225,254,97,2.131,1.869,2.402,2.852,2.708
RAW-00119,Tejpatta Leaves,2025-08-03T14:23:25,high,27.76,75.1,6.36,1317.5,1.1,11.9,167,248,206,1.782,1.537,2.167,2.496,2.279
RAW-00120,Shankhpushpi,2025-08-05T16:44:14,low,23.26,77.2,6.23,1495.9,2.84,14.8,132,52,231,0.824,0.75,1.051,1.34,1.037
RAW-00121,Ajwain Seeds,2025-07-10T14:03:58,high,22.9,72.1,7.53,71.2,1.12,20.7,108,120,141,1.821,1.53,2.126,2.483,2.17
RAW-00122,Giloy Stems,2025-08-31T13:28:57,low,21.01,62.0,8.13,785.2,1.02,11.2,51,227,189,1.199,0.985,1.343,1.638,1.403
RAW-00123,Curry Leaves,2025-06-23T09:31:48,medium,20.63,48.5,7.3,584.1,2.22,10.5,112,71,119,1.519,1.16,1.694,1.962,1.888
RAW-00124,Ajwain Seeds,2025-09-04T10:14:04,medium,29.57,81.1,8.23,1212.0,3.4,10.1,140,212,144,1.591,1.264,1.89,2.052,1.928
RAW-00125,Mulethi Root,2025-06-13T08:34:51,high,18.97,70.5,7.43,1030.4,0.78,18.7,97,136,201,0.638,0.351,0.856,1.16,0.942
RAW-00126,Mulethi Root,2025-09-06T14:27:04,high,27.02,84.0,4.78,854.3,3.76,22.2,242,192,153,0.729,0.394,0.76,1.225,0.967
RAW-00127,Tulsi Leaves,2025-08-25T09:46:16,medium,26.16,68.7,5.92,125.4,0.26,16.4,207,177,133,1.057,0.75,1.399,1.923,1.642
RAW-00128,Dhania Seeds,2025-06-16T14:15:44,low,22.87,62.4,6.08,1020.5,4.47,14.6,60,147,227,0.904,0.772,1.13,1.465,1.335
RAW-00129,Jeera Seeds,2025-07-28T09:58:19,high,30.58,76.1,4.81,1480.8,1.43,11.5,80,168,60,1.493,1.13,1.791,2.032,1.829
RAW-00130,Ajwain Seeds,2025-09-04T12:37:09,high,30.07,57.6,6.65,1268.2,4.95,23.3,197,131,126,1.754,1.429,2.147,2.366,2.11
RAW-00131,Ajwain Seeds,2025-08-02T13:18:59,high,23.21,71.5,5.06,877.8,1.01,14.2,205,180,199,1.884,1.521,2.15,2.447,2.354
RAW-00132,Ajwain Seeds,2025-07-08T15:54:07,high,18.75,60.1,5.43,434.8,2.82,13.0,201,107,121,1.811,1.511,2.162,2.557,2.343
RAW-00133,Pudina Leaves,2025-09-17T14:45:07,high,20.86,58.6,6.54,941.9,4.56,17.6,102,177,229,1.65,1.322,1.977,2.257,2.12
RAW-00134,Ginger Root,2025-07-27T11:08:53,medium,20.95,67.3,7.93,1260.8,4.64,15.5,151,214,241,1.186,0.88,1.485,1.707,1.683
RAW-00135,Dhania Seeds,2025-08-11T16:48:34,high,24.38,72.1,6.67,553.0,2.23,21.9,148,153,233,1.097,0.845,1.558,1.848,1.493
RAW-00136,Neem Leaves,2025-06-01T17:17:47,high,24.59,71.5,7.5,1143.1,2.93,23.6,54,244,235,2.314,1.974,2.604,3.045,2.893
RAW-00137,Ajwain Seeds,2025-09-21T10:11:40,high,25.44,56.5,6.47,484.9,3.02,16.5,70,170,171,1.836,1.678,2.234,2.435,2.348
RAW-00138,Amla Fruit,2025-09-21T14:03:26,medium,31.73,53.6,4.77,912.5,3.72,10.5,79,60,157,1.598,1.432,1.964,2.214,2.045
RAW-00139,Shankhpushpi,2025-08-29T15:53:27,medium,23.08,77.2,5.81,353.1,0.51,17.0,127,222,55,1.042,0.824,1.228,1.538,1.404
RAW-00140,Kalonji Seeds,2025-06-14T15:14:53,high,22.65,82.1,7.88,374.8,1.27,17.7,112,212,130,2.051,1.652,2.264,2.637,2.432
RAW-00141,Arjuna Bark,2025-06-20T11:34:31,medium,19.34,57.7,8.37,430.4,1.63,22.5,120,157,164,1.967,1.615,2.345,2.692,2.406
RAW-00142,Honey,2025-07-27T10:29:09,high,21.84,81.1,5.36,1332.3,2.84,22.4,92,194,145,0.352,0.179,0.36,0.505,0.565
RAW-00143,Neem Leaves,2025-08-07T08:40:18,low,25.65,61.7,5.14,297.9,2.15,21.4,107,143,168,1.915,1.532,2.16,2.441,2.312
RAW-00144,Elaichi Seeds,2025-06-25T10:51:47,medium,22.29,46.6,6.85,626.6,4.87,18.2,108,204,76,1.121,0.961,1.428,1.637,1.617
RAW-00145,Dhania Seeds,2025-08-11T14:46:54,high,24.19,58.4,6.08,818.4,0.89,18.6,113,214,76,1.18,0.916,1.551,1.779,1.626
RAW-00146,Dalchini Bark,2025-06-29T11:24:05,medium,30.25,76.6,5.06,841.1,0.62,10.7,136,175,124,1.265,1.041,1.587,1.793,1.612
RAW-00147,Turmeric Powder,2025-07-28T11:28:43,high,28.91,45.6,7.77,108.2,4.46,24.9,114,96,230,1.633,1.374,1.791,2.083,1.995
RAW-00148,Jeera Seeds,2025-06-02T17:23:03,medium,21.27,70.0,7.49,367.1,0.39,12.0,71,234,156,1.37,1.084,1.699,1.831,1.822
RAW-00149,Arjuna Bark,2025-08-19T09:31:25,high,26.29,51.6,4.6,576.0,2.78,22.6,191,211,177,2.011,1.922,2.415,2.858,2.656
RAW-00150,Mulethi Root,2025-06-22T15:05:35,high,18.59,72.4,8.11,1264.0,0.72,11.9,64,93,194,0.775,0.351,0.975,1.245,1.027
RAW-00151,Mulethi Root,2025-09-19T09:04:44,high,31.84,54.0,6.06,746.1,0.78,11.2,216,103,137,0.725,0.458,0.937,1.165,1.098
RAW-00152,Methi Seeds,2025-07-24T17:15:34,high,21.59,77.2,6.2,1492.3,0.55,21.7,190,237,234,1.908,1.564,1.996,2.341,2.236
RAW-00153,Dalchini Bark,2025-07-22T12:44:21,medium,23.59,68.9,7.11,273.2,4.89,18.2,101,167,224,1.145,0.878,1.491,1.666,1.532
RAW-00154,Ajwain Seeds,2025-06-11T14:03:24,low,22.3,59.8,6.7,1195.5,1.66,18.7,106,75,202,1.273,1.086,1.498,1.687,1.615
RAW-00155,Jeera Seeds,2025-08-22T08:35:13,low,26.43,68.3,6.11,540.2,0.72,15.9,211,53,194,1.031,0.734,1.102,1.314,1.258
RAW-00156,Brahmi Leaves,2025-09-26T17:03:00,high,24.58,65.1,5.3,506.8,3.98,23.7,85,67,139,1.504,1.176,1.767,2.175,1.928
RAW-00157,Ginger Root,2025-08-10T08:57:25,high,24.2,46.9,7.78,1248.2,2.98,15.3,142,71,243,1.403,0.955,1.629,1.922,1.889
RAW-00158,Tulsi Leaves,2025-06-06T17:24:54,high,24.19,51.5,5.24,343.3,1.99,10.8,160,87,126,1.252,0.827,1.584,2.234,1.885
RAW-00159,Honey,2025-08-06T15:07:54,high,24.36,63.1,8.25,1476.8,4.0,21.4,127,218,213,0.383,0.142,0.31,0.527,0.49
RAW-00160,Ginger Root,2025-07-13T13:46:04,high,19.38,83.3,6.9,1106.6,1.65,15.9,62,246,74,1.459,1.106,1.58,1.944,1.73
RAW-00161,Amla Fruit,2025-08-21T09:01:09,medium,26.1,78.3,7.72,1306.3,0.39,20.4,147,176,217,1.392,1.332,1.81,1.996,1.835
RAW-00162,Jeera Seeds,2025-08-16T14:59:53,high,27.18,53.0,5.76,375.7,0.44,22.4,228,219,184,1.546,1.103,1.893,2.169,1.951
RAW-00163,Mulethi Root,2025-08-23T13:26:08,high,22.46,49.2,5.01,882.1,0.4,10.5,241,165,174,0.68,0.471,0.941,1.204,1.051
RAW-00164,Shankhpushpi,2025-07-05T08:35:24,medium,22.29,67.2,6.85,668.4,3.12,11.2,88,80,59,1.044,0.876,1.322,1.546,1.416
RAW-00165,Amla Fruit,2025-09-24T09:59:23,high,21.24,80.9,5.52,369.9,0.78,22.9,169,190,61,1.849,1.496,2.329,2.458,2.262
RAW-00166,Jeera Seeds,2025-09-28T16:51:06,low,20.9,65.2,5.75,669.8,3.26,21.2,108,237,175,1.096,0.87,1.29,1.461,1.368
RAW-00167,Pudina Leaves,2025-06-16T15:40:03,high,21.83,81.5,4.89,1287.3,1.71,10.8,223,201,124,1.524,1.323,1.834,2.161,1.999
RAW-00168,Dalchini Bark,2025-09-23T09:27:02,high,27.06,70.0,7.05,495.4,4.31,24.4,248,221,136,1.383,1.062,1.722,2.071,1.762
RAW-00169,Ashwagandha Root,2025-08-14T17:52:32,medium,23.71,80.5,4.69,1444.1,3.43,19.5,57,128,180,1.766,1.448,1.998,2.363,2.191
